Strain,Habitat,dxs,hmgs,ispC,ispD,ispE,ispG,phaA
Synechocystis_sp._PCC_6803_substr._PCC-P_,freshwater,4,0,1,1,1,1,1
Thermosynechococcus_elongatus_BP-1,hot spring,0,0,0,1,1,0,0
Tildeniella_nuda_ZEHNDER_1965_U140,temperate,9,0,1,1,2,1,0
Tildeniella_torsiva_UHER_1998_13D,temperate ,6,1,1,1,1,1,1
Timaviella_obliquedivisa_GSE-PSE-MK23-08B,desert,4,0,1,1,1,1,0
Tolypothrix_brevis_GSE-NOS-MK-07-07A,desert,4,0,1,1,1,1,3
Tolypothrix_carrinoi_HA7290-LM1,cave ,4,0,1,1,1,1,0
Trichocoleus_desertorum_ATA4-8-CV12,desert ,4,0,1,1,2,1,1
Trichodesmium_erythraeum_IMS101,saltwater,8,0,1,1,1,1,0
Trichormus_sp._ATA11-4-KO1,desert,7,0,1,1,1,1,0
Trichormus_variabilis_ATCC_29413,freshwater,8,0,1,1,1,1,0
