Strain,Habitat,crtE,crtBa,crtIa,cruP,crtL
Synechococcus_elongatus_=_FACHB-805_PCC_7942,aquatic,2,1,9,1,1
Synechococcus_elongatus_PCC_6301,aquatic,2,1,9,1,1
Synechococcus_sp._CC9311_CC9311,aquatic,2,1,3,0,1
Synechococcus_sp._CC9605_CC9605,aquatic,2,1,3,0,1
Synechococcus_sp._CC9902_CC9902,aquatic,2,1,3,0,1
Synechococcus_sp._JA-3-3Ab_JA-3-3Ab,aquatic,2,1,4,2,0
Synechococcus_sp._KORDI-100_KORDI-100,aquatic,2,1,3,0,1
Synechococcus_sp._KORDI-49_KORDI-49,aquatic,2,1,3,0,1
Synechococcus_sp._KORDI-52_KORDI-52,aquatic,2,1,3,0,1
Synechococcus_sp._PCC_6312_PCC_6312,aquatic,2,3,2,2,0
Synechococcus_sp._PCC_7002_PCC_7002__ATCC_27264,hydroterrestrial,2,1,7,2,0
Synechococcus_sp._PCC_7502_PCC_7502,hydroterrestrial,2,1,2,2,0
Synechococcus_sp._WH_8109_WH_8109,aquatic,2,1,3,0,1
Synechocystis_sp._PCC_6714_PCC_6714,aquatic,2,1,4,2,0
Synechocystis_sp._PCC_6803_GT-S,aquatic,2,1,6,2,0
Synechocystis_sp._PCC_6803_substr._GT-I_,aquatic,2,1,6,2,0
Synechocystis_sp._PCC_6803_substr._PCC-N_,aquatic,2,1,6,2,0
Synechocystis_sp._PCC_6803_substr._PCC-P_,aquatic,2,1,6,2,0
Thermosynechococcus_elongatus_BP-1,aquatic,1,1,2,0,0
Tildeniella_nuda_ZEHNDER_1965_U140,subaerial,1,3,4,2,0
Tildeniella_torsiva_UHER_1998_13D,,2,1,9,1,1
Timaviella_obliquedivisa_GSE-PSE-MK23-08B,subaerial,2,1,4,2,0
Tolypothrix_brevis_GSE-NOS-MK-07-07A,subaerial,2,1,2,2,0
Tolypothrix_carrinoi_HA7290-LM1,subaerial,2,1,5,2,0
Trichocoleus_desertorum_ATA4-8-CV12,soil,2,1,9,2,1
Trichodesmium_erythraeum_IMS101,aquatic,3,1,7,2,0
Trichormus_sp._ATA11-4-KO1,soil,2,1,6,2,0
Trichormus_variabilis_ATCC_29413,aquatic,2,1,6,2,0
